official_contest_name,in_group,ex_group,original_cvr_header,ballot_contest_name,bmd_contest_name,vote_for,writein_num,official_options,description
No. 4 Constitutional Amendment,,,No. 4 Constitutional Amendment,"No. 4 Constitutional Amendment
Article VI, Section 4
(Vote for One)
",Office of 4 - Amend - Voter Restore,1,0,"Yes, No ","Voting Restoration Amendment
This amendment restores the voting rights
of Floridians with felony convictions after
they complete all terms of their sentence
including parole or probation. The
amendment would not apply to those
convicted of murder or sexual offenses, who
would continue to be permanently barred
from voting unless the Governor and
Cabinet vote to restore their voting rights on
a case by case basis.

The precise effect of this amendment on
State and local government costs cannot be
determined, but the operation of current
voter registration laws, combined with an
increased number of felons registering to
vote, will produce higher overall costs
relative to the processes in place today. The
impact, if any, on state and local
government revenues cannot be
determined. The fiscal impact of any future
legislation that implements a different
process cannot be reasonably determined."
No. 5 Constitutional Amendment,,,No. 5 Constitutional Amendment,"No. 5 Constitutional Amendment
Article VII, Section 19
(Vote for One)
",Office of 5 - Amend - Supermaj Vote Required,1,0,"Yes, No ","Supermajority Vote Required to
Impose, Authorize, or Raise State
Taxes or Fees
Prohibits the legislature from imposing,
authorizing, or raising a state tax or fee 
except through legislation approved by a 
two-thirds vote of each house of the 
legislature in a bill containing no other 
subject. This proposal does not authorize a 
state tax or fee otherwise prohibited by the 
Constitution and does not apply to fees or 
taxes imposed or authorized to be imposed 
by a county, municipality, school board, or 
special district."
No. 6 Constitutional Revision,,,No. 6 Constitutional Revision,"No. 6 Constitutional Revision
Article I, Section 16, 
Article V, Sections 8 and 21, 
Article XII, New Section
(Vote for One)

",Office of 6 - Rev - Rights of Crime Vict,1,0,"Yes, No ","Rights of Crime Victims; Judges
Creates constitutional rights for victims of 
crime; requires courts to facilitate victims’ 
rights; authorizes victims to enforce their 
rights throughout criminal and juvenile 
justice processes. Requires judges and 
hearing officers to independently interpret 
statutes and rules rather than deferring to 
government agency's interpretation. Raises 
mandatory retirement age of state justices 
and judges from seventy to seventy-five 
years; deletes authorization to complete 
judicial term if one-half of term has been 
served by retirement age. "
No. 7 Constitutional Revision ,,,No. 7 Constitutional Revision,"No. 7 Constitutional Revision
Article IX, Section 7 and 8, 
Article X, New Section
(Vote for One)
",Office of 7 - Rev - First Resp and Milit Member,1,0,"Yes, No ","First Responder and Military Member
Survivor Benefits; Public Colleges
and Universities
Grants mandatory payment of death 
benefits and waiver of certain educational 
expenses to qualifying survivors of certain 
first responders and military members who 
die performing official duties. Requires 
supermajority votes by university trustees 
and state university system board of 
governors to raise or impose all legislatively 
authorized fees if law requires approval by 
those bodies. Establishes existing state 
college system as constitutional entity; 
provides governance structure. "
No. 9 Constitutional Revision,,,No. 9 Constitutional Revision,"No. 9 Constitutional Revision
Article II, Section 7, 
Article X, Section 20
(Vote for One)
",Office of 9 - Rev - Oil and Gas Drilling; Vaping,1,0,"Yes, No ","Prohibits Offshore Oil and Gas
Drilling; Prohibits Vaping in Enclosed
Indoor Workplaces
Prohibits drilling for the exploration or 
extraction of oil and natural gas beneath all 
state-owned waters between the mean high 
water line and the state's outermost 
territorial boundaries. Adds use of 
vapor-generating electronic devices to 
current prohibition of tobacco smoking in 
enclosed indoor workplaces with exceptions; 
permits more restrictive local vapor 
ordinances. "
No. 10 Constitutional Revision,,,No. 10 Constitutional Revision,"No. 10 Constitutional Revision
Article III, Section 3, 
Article IV, Sections 4 and 11, 
Article VIII, Section 1 and 6
(Vote for One)
",Office of 10 - Rev - St and Local Gov,1,0,"Yes, No ","State and Local Government
Structure and Operation
Requires legislature to retain department of 
veterans’ affairs. Ensures election of 
sheriffs, property appraisers, supervisors of 
elections, tax collectors, and clerks of court 
in all counties; removes county charters’ 
ability to abolish, change term, transfer 
duties, or eliminate election of these offices. 
Changes annual legislative session 
commencement date in even- numbered 
years from March to January; removes legislature's authorization to fix another 
date. Creates office of domestic security and 
counterterrorism within department of law 
enforcement. "
No. 11 Constitutional Revision,,,No. 11 Constitutional Revision,"No. 11 Constitutional Revision
Article I, Section 2, 
Article X, Sections 9 and 19
(Vote for One)
","Office of 11 - Rev - Prop Rights; Rem of
Prov; Crim Stat",1,0,"Yes, No ","Property Rights; Removal of Obsolete
Provision; Criminal Statutes
Removes discriminatory language related to 
real property rights. Removes obsolete 
language repealed by voters. Deletes 
provision that amendment of a criminal 
statute will not affect prosecution or 
penalties for a crime committed before the 
amendment; retains current provision 
allowing prosecution of a crime committed 
before the repeal of a criminal statute."
No. 12 Constitutional Revision,,,No. 12 Constitutional Revision,"No. 12 Constitutional Revision
Article II, Section 8, 
Article V, Section 13, 
Article XII, New Section
(Vote for One)
",Office of 12 - Rev - Lobbying and Abuse,1,0,"Yes, No ","Lobbying and Abuse of Office by Public
Officers
Expands current restrictions on lobbying for 
compensation by former public officers; 
Creates restrictions on lobbying for 
compensation by serving public officers and 
former justices and judges; provides 
exceptions; prohibits abuse of a public 
position by public officers and employees to 
obtain a personal benefit. "
No. 13 Constitutional Revision,,,No. 13 Constitutional Revision,"No. 13 Constitutional Revision
Article X, New Section, 
Article XII, New Section
(Vote for One)
",Office of 13 - Rev - Dog Racing,1,0,"Yes, No ","Ends Dog Racing
Phases out commercial dog racing in
connection with wagering by 2020. Other
gaming activities are not affected."
Code of Ethics,,,Code of Ethics,"Code of Ethics as Proposed by the
Citizen Charter Review Committee
(Vote for One)",Office of CCRC - Code of Ethics,1,0,"Yes for Approval, No for Rejection","Shall the Home Rule Charter of Leon County,
Florida be amended to provide for the
enactment by ordinance of a Code of Ethics
to prescribe standards of conduct for
members of the Board of County 
Commissioners, County employees, and
members of appointed boards and 
committees created by the Board of County
Commissioners no later than the first County
Commission meeting in December 2019?"
Seat 2 on the City of Tallahassee Independent Ethics Board,,,Seat 2 on the City of Tallahassee Independent Ethics Board,"Second Judicial Circuit Public Defender Appointee to City of 
Tallahassee Independent Ethics
Board
(Vote for One)",Office of City Ordinance - Tall Ethics Brd Vacancy,1,0,"Yes, No ","Shall the Charter of the City of Tallahassee
be amended to provide that Seat 2 on the
City of Tallahassee Independent Ethics Board
be appointed by the Public Defender for the
Second Judicial Circuit to resolve the ongoing
vacancy in that seat?"
