argument,value,comment,
reviewed,"207458,""Stoughton School Board Member (3)"",(Yolibeth Rangel-FitzGibbon,Jill Patterson)",Audit Incorrect,crease
reviewed,"207586,""Stoughton School Board Member (3)"",(Yolibeth Rangel-FitzGibbon,Jill Patterson)",Audit Incorrect,crease
reviewed,"208237,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
reviewed,"208265,""Justice of the Supreme Court"",Lisa Neubauer",Audit Incorrect,Scratch out otherwise resulted in overvote.
reviewed,"210217,""Madison Alderperson District 19"",undervote",Audit Incorrect,crease
reviewed,"212034,""Madison Metropolitan Board Member Seat 5"",TJ Mertz",Audit Incorrect,EV lost last contest
reviewed,"212060,""Madison Alderperson District 11"",undervote",Audit Incorrect,crease
reviewed,"212266,""Madison Alderperson District 11"",undervote",Audit Incorrect,crease
reviewed,"212232,""Madison Alderperson District 11"",undervote",Audit Incorrect,crease
reviewed,"215452,""Madison Metropolitan Board Member Seat 3"",Kaleem Caire",Audit Incorrect,Scratch out should be ruled overvote before human review
reviewed,"219216,all contests",Audit Incorrect,distorted bottom
reviewed,"220033,""Mayor C Madison"",Paul R. Soglin",Audit Correct,
reviewed,"220306,""Madison Metropolitan Board Member Seat 4"",Ali Janae Muldrow",Audit Correct,
reviewed,"220316,""Madison Alderperson District 14"",Sheri Carter",Audit Incorrect,crease
reviewed,"225554,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
reviewed,"228940,""Madison Metropolitan Board Member Seat 4"",David Blaska",Audit Correct,
reviewed,"228940,""adison Metropolitan Board Member Seat 5"",TJ Mertz",Audit Correct,
reviewed,"229835,""Mayor C Madison"",writein",Audit Correct,
reviewed,"230065,""Madison Alderperson District 4"",undervote",Audit Incorrect,crease
reviewed,"230235,""Madison Alderperson District 4"",Michael Verveer",Audit Incorrect,crease
reviewed,"230387,""Court of Appeals Judge District IV"",Jennifer Nashold",Audit Correct,
reviewed,"230540,Madison Alderperson District 4,undervote",Audit Incorrect,crease
reviewed,"232131,""Mayor C Madison"",Paul R. Soglin",Audit Incorrect,Darker oval caused overvote
reviewed,"233187,""Mayor C Madison"",Satya Rhodes-Conway",Audit Correct,
reviewed,"235966,""Mayor C Madison"",Satya Rhodes-Conway",Audit Correct,
reviewed,"236894,""Madison Alderperson District 4"",Michael Verveer",Audit Incorrect,crease
reviewed,"239512,""Court of Appeals Judge District IV"",Jennifer Nashold",Audit Correct,
reviewed,"240300,""Madison Alderperson District 6"",Marsha A. Rummel",Audit Incorrect,crease
reviewed,"241227,""Madison Metropolitan Board Member Seat 5"",Ananda Mirilli",Audit Correct,
reviewed,"243179,all contests",Audit Incorrect,alignment??
reviewed,"243515,""Madison Metropolitan Board Member Seat 5"",TJ Mertz",Audit Incorrect,ev ballot misses vote at bottom.
reviewed,"243824,""Madison Metropolitan Board Member Seat 5"",TJ Mertz",Audit Incorrect,voter 
reviewed,"244515,""Madison Metropolitan Board Member Seat 4"",writein",Audit Correct,bubble filled but no name provided.
reviewed,"245177,""Madison Alderperson District 18"",undervote",Audit Incorrect,crease
reviewed,"245850,""Madison Alderperson District 18"",undervote",Audit Incorrect,crease
reviewed,"247541,""Madison Alderperson District 12"",Syed Abbas",Audit Incorrect,crease
reviewed,"252272,""Sun Prairie School Board Member (3)""3 writeins",Audit Incorrect,writein mistaken for ballot option using OCR
reviewed,"253891,""Madison Alderperson District 15"",undervote",Audit Incorrect,crease
reviewed,"256017,""Madison Metropolitan Board Member Seat 3"",Cristiana Carusi",Audit Incorrect,hesitation mark should be disregarded
reviewed,"257842,""Madison Alderperson District 3"",Mike Cerro",Audit Correct,
reviewed,"257842,""Madison Metropolitan Board Member Seat 3"",Kaleem Caire",Audit Correct,
reviewed,"258577,""Mayor C Madison"",Paul R. Soglin",Audit Correct,
reviewed,"264880,""Madison Alderperson District 19"", undervote",Audit Incorrect,crease on writein
reviewed,"265121,all contests",Audit Incorrect,?? mystery
reviewed,"265279,""Madison Alderperson District 19"",Keith Furman",Audit Correct,
reviewed,"265626,""Madison Alderperson District 19"",undervote",Audit Incorrect,crease
reviewed,"265807,""Madison Metropolitan Board Member Seat 4"",Ali Janae Muldrow",Audit Correct,
reviewed,"265820,""Mayor C Madison"",Paul R. Soglin",Audit Correct,
reviewed,"265898,""Justice of the Supreme Court"",undervote",Audit Incorrect,hesitation mark
reviewed,"266347,""Court of Appeals Judge District IV"",Jennifer Nashold",Audit Correct,
reviewed,"266347,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,
reviewed,"266347,""Madison Alderperson District 19"",Allison E. Martinson",Audit Correct,
reviewed,"266421,all contests",Audit Incorrect,blank ballot misinterpreted
reviewed,"266804,Madison Alderperson District 19,Allison E. Martinson",Audit Correct,
reviewed,"269275,""Madison Alderperson District 20"",undervote",Audit Correct,voter slashes through contests not voted on. bubbles filled
reviewed,"269275,""Madison Metropolitan Board Member Seat 3"",undervote",Audit Correct,voter slashes through contests not voted on. bubbles filled
reviewed,"269275,""Madison Metropolitan Board Member Seat 4"",undervote",Audit Correct,voter slashes through contests not voted on. bubbles filled
reviewed,"269554,""Madison Metropolitan Board Member Seat 5"",TJ Mertz",Audit Incorrect,ev ballot misses vote at bottom.
reviewed,"269788,""Madison Metropolitan Board Member Seat 4"",David Blaska",Audit Correct,
reviewed,"272352,""Madison Metropolitan Board Member Seat 4"",David Blaska",Audit Correct,
reviewed,"272566,""Madison Alderperson District 7"",Badri Lankella",Audit Correct,
reviewed,"273933,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,
reviewed,"274173,""Madison Metropolitan Board Member Seat 5"",Ananda Mirilli",Audit Correct,
reviewed,"274461,""Madison Alderperson District 1"",undervote",Audit Incorrect,crease on writein
reviewed,"274772,""Madison Alderperson District 1"",undervote",Audit Incorrect,crease on writein
reviewed,"274863,""Madison Alderperson District 9"",Paul Skidmore",Audit Incorrect,crease on writein
reviewed,"274927,""Madison Alderperson District 1"",undervote",Audit Incorrect,crease on writein
reviewed,"274934,""Madison Alderperson District 9"",undervote",Audit Incorrect,crease on writein
reviewed,"274954,""Madison Alderperson District 1"",Barbara Harrington-McKinney",Audit Incorrect,crease on writein
reviewed,"276073,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,
reviewed,"276073,""Mayor C Madison"",Paul R. Soglin",Audit Correct,
reviewed,"276096,""Madison Alderperson District 9"",undervote",Audit Incorrect,crease on writein
reviewed,"277883,""Madison Alderperson District 9"",Paul Skidmore",Audit Incorrect,smudge on writein
reviewed,"278750,""Madison Alderperson District 9"",Paul Skidmore",Audit Incorrect,crease on writein
reviewed,"280468,""Madison Alderperson District 9"",Paul Skidmore",Audit Incorrect,crease on writein
reviewed,"282698,""Madison Alderperson District 11"",undervote",Audit Incorrect,crease on writein
reviewed,"283996,""Madison Metropolitan Board Member Seat 3"",Cristiana Carusi",Audit Correct,
reviewed,"284732,all contests",Audit Incorrect,Sticker over bottom timing marks
reviewed,"284935,all contests",Audit Incorrect,Sticker over bottom timing marks
reviewed,"285061,all contests",Audit Incorrect,Sticker over bottom timing marks
reviewed,"285160,all contests",Audit Incorrect,Sticker over bottom timing marks
reviewed,"285227,all contests",Audit Incorrect,Sticker over bottom timing marks
reviewed,"285826,""Madison Alderperson District 4"",Michael Vermeer",Audit Incorrect,crease
reviewed,"288369,""Madison Alderperson District 16"",undervote",Audit Incorrect,crease on writein
reviewed,"288734,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
#ballotid,187576,bug in ev decoding fixed,
#ballotid,215292,,
#ballotid,251916,,
#ballotid,232570,,
#ballotid,230255,,
#ballotid,222475,,
#ballotid,219926,,
#ballotid,218065,,
#ballotid,215376,,
#ballotid,279693,,
#ballotid,139837,,
,,,
#precinct,C Madison Wd 032 ,,
#precinct,C Madison Wd 064,,
#precinct,C Madison Wd 065,,
#precinct,"C Sun Prairie Wds 6-9, 23",,
#precinct,"C Sun Prairie Wds 10-14, 20-22, 24-25",,
